title,link,duration,minutes
Aprende Inglés Básico Para Principiantes | Conversación Lenta y Fácil en Inglés,https://www.youtube.com/watch?v=3epbGMPfnQ0,1:00,1.00
Clase de Inglés para Principiantes | TODO LO ESENCIAL EN UN VIDEO | Aprende Inglés desde Cero,https://www.youtube.com/watch?v=KFV4LLoKrNA,0:23,0.38
Introducción,https://www.youtube.com/watch?v=KQIcaJr-B38,0:58,0.97
La pronunciación en inglés,https://www.youtube.com/watch?v=VAJaDIGj3e4,0:59,0.98
Los pronombres,https://www.youtube.com/watch?v=ns97MMnFICE,0:30,0.50
Los artículos,https://www.youtube.com/watch?v=Lml1LMqngDI,1:00,1.00
Verbos en inglés,https://www.youtube.com/watch?v=Dd81MZvrDew,0:57,0.95
Verbos en inglés en el pasado,https://www.youtube.com/watch?v=kkn5KtrUnfI,1:00,1.00
¿Cómo hacer preguntas en inglés?,https://www.youtube.com/watch?v=gnDVShJpwqY,0:24,0.40
¿Cómo hacer preguntas negativas en inglés?,https://www.youtube.com/watch?v=CxRHHfvL9r0,0:31,0.52
¿Cómo hacer preguntas en el pasado?,https://www.youtube.com/watch?v=k8Gyc4qYyS4,0:11,0.18
Adjetivos posesivos,https://www.youtube.com/watch?v=rJmzT52TS60,0:45,0.75
¿Cómo aprender todo esto?,https://www.youtube.com/watch?v=CQO-8R21_1A,0:53,0.88
🧠 ESCUCHALO 10 MINUTOS POR 4 DIAS 📚 Y TU INGLÉS CAMBIARÁ ✅  APRENDER INGLÉS RÁPIDO ✨,https://www.youtube.com/watch?v=bJMlfknXKhw,0:19,0.32
🗽🚀 ESCUCHA ESTO POR 7 DIAS Y TU INGLÉS CAMBIARÁ ✨  APRENDER INGLÉS RÁPIDO 🤯,https://www.youtube.com/watch?v=o_n9gTn3ZCg,1:11,1.18
📚✅ 100 FRASES SIMPLES EN INGLÉS PARA USO DIARIO ✅ APRENDER INGLES RAPIDO - CURSO DE INGLES BASICO,https://www.youtube.com/watch?v=wU1jXLh6Clw,0:33,0.55
Aprende inglés mientras duermes,https://www.youtube.com/watch?v=A64zdc7NvMQ,0:11,0.18
👂Mejora tu ESCUCHA de INGLÉS con esta técnica.👂 CONVERSACIÓN 17🔊,https://www.youtube.com/watch?v=_pa_cJAdN4o,1:02,1.03
✅Curso de INGLÉS BÁSICO Para PRINCIPIANTES 👉 DESDE CERO hasta INTERMEDIO 🚀 COMO APRENDER INGLÉS,https://www.youtube.com/watch?v=tIYArg1Ju-Q,0:39,0.65
Introducción al Curso,https://www.youtube.com/watch?v=a_2GhNSlZaE,0:40,0.67
Los Pronombres Personales en inglés,https://www.youtube.com/watch?v=ZvsxZL4pkU0,0:28,0.47
El Verbo 'To be' en inglés,https://www.youtube.com/watch?v=UMthGQds15k,1:00,1.00
Preguntas con el verbo 'To be',https://www.youtube.com/watch?v=UZpxma_qu4Q,0:43,0.72
Negativa con el verbo 'To be',https://www.youtube.com/watch?v=d87gx78zZL8,0:31,0.52
"Los artículos en inglés (A, An y The)",https://www.youtube.com/watch?v=7AefBz4a73U,0:58,0.97
Los Adjetivos en inglés,https://www.youtube.com/watch?v=-jG0yVk7HuI,0:39,0.65
"THIS, THAT, THESE, THOSE en inglés",https://www.youtube.com/watch?v=yoD_cPOkLgU,0:20,0.33
